;cluster
0;0
1;4
2;6
3;6
4;6
5;6
6;6
7;6
8;6
9;6
10;3
11;3
12;7
13;7
14;7
15;2
16;2
17;2
18;0
19;0
20;0
21;5
22;5
23;5
24;5
25;5
26;5
27;5
28;4
29;5
30;5
31;5
32;5
33;5
34;1
35;1
36;6
37;3
38;3
39;7
40;2
41;2
42;2
43;2
44;2
45;2
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;2
57;2
58;5
59;5
60;5
61;1
62;1
63;1
64;1
65;1
66;6
67;6
68;6
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;2
77;0
78;5
79;5
80;5
81;5
82;1
83;1
84;1
85;1
86;1
87;6
88;6
89;2
90;2
91;2
92;2
93;0
94;5
95;6
96;6
97;6
98;3
99;2
100;2
101;0
102;0
103;5
104;5
105;3
107;7
108;2
109;2
110;2
111;2
112;2
113;2
114;0
115;0
116;0
117;5
118;5
119;5
120;1
121;1
122;6
123;3
124;3
125;3
126;3
127;3
128;7
129;7
130;0
131;0
132;4
133;5
134;5
135;5
136;6
137;6
138;6
139;3
140;3
141;7
142;7
143;7
144;7
145;2
146;0
147;0
148;0
149;0
150;5
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;6
159;6
160;6
161;6
162;6
163;6
164;6
165;6
166;6
167;6
169;6
170;6
171;6
172;3
173;3
174;2
175;0
176;5
177;5
178;5
179;4
180;5
181;5
182;5
183;5
184;7
185;7
186;2
187;2
188;0
189;0
190;0
191;5
192;5
193;5
194;5
195;5
196;5
197;1
198;1
199;1
200;1
201;1
202;7
203;2
204;2
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;5
214;5
215;5
216;5
217;4
218;5
219;5
220;5
221;5
222;1
223;1
224;1
225;1
226;3
228;7
229;2
230;2
231;2
232;2
233;2
234;2
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;5
244;5
245;5
246;5
247;5
248;1
249;1
250;1
251;1
252;1
253;1
254;1
255;1
256;6
257;6
258;6
259;3
260;3
261;3
262;7
263;7
264;2
265;2
266;2
267;2
268;2
269;2
270;2
271;2
272;2
273;0
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;5
284;5
285;5
286;5
287;4
288;5
289;5
290;5
291;5
292;5
293;1
294;1
295;3
296;7
297;7
298;7
299;7
300;7
301;2
302;2
303;2
304;2
305;2
306;2
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;5
315;5
316;5
318;1
319;1
320;1
321;1
322;1
323;1
324;1
325;1
326;6
327;6
328;3
329;3
330;3
331;3
332;4
333;4
334;7
335;7
336;7
337;7
338;7
339;0
340;0
341;0
342;5
343;5
344;5
346;1
347;1
348;1
349;1
350;1
351;1
352;1
353;1
354;1
355;1
356;6
357;6
358;6
359;6
360;3
361;3
362;3
363;7
364;7
365;2
366;0
367;0
368;0
369;0
370;5
371;5
372;5
373;4
374;5
375;5
376;5
377;5
378;5
379;5
380;1
381;1
382;1
383;1
384;1
385;1
386;1
387;3
388;3
389;7
390;7
391;7
392;7
393;2
394;2
395;2
396;2
397;2
398;2
399;2
400;2
401;2
402;2
403;2
404;2
405;0
406;0
407;5
408;1
409;6
410;6
411;3
412;7
413;7
414;7
415;5
416;5
417;5
418;1
419;1
420;6
421;6
422;6
423;7
424;7
425;7
426;2
427;2
428;2
429;2
430;2
431;0
432;0
433;0
434;5
435;1
436;1
437;1
439;1
440;1
441;6
442;6
443;6
444;6
445;6
446;6
447;6
448;7
449;7
450;7
451;2
452;2
453;2
454;2
455;2
456;2
457;0
459;0
460;0
461;0
462;5
463;5
464;5
465;1
466;1
467;1
468;1
469;1
470;1
471;1
472;1
473;1
474;6
475;6
476;6
477;2
478;2
479;2
480;2
481;2
482;0
483;0
484;0
485;0
486;0
487;5
488;1
489;1
490;1
491;3
492;3
493;3
494;3
495;7
496;2
497;2
498;2
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;5
508;6
509;6
510;3
511;2
512;2
513;2
514;2
515;2
516;2
517;5
518;5
519;5
520;1
521;1
522;6
523;6
524;6
525;6
526;4
527;7
528;7
529;2
530;2
532;2
533;0
534;0
535;0
536;0
538;0
539;1
540;1
541;1
542;1
543;6
544;6
545;6
546;6
547;7
548;2
549;0
550;0
551;5
552;5
553;5
554;6
555;6
556;6
557;3
559;2
560;2
561;2
562;2
563;0
564;0
565;0
566;0
567;5
568;5
569;5
570;1
571;1
572;6
573;6
574;6
575;6
576;6
577;2
578;2
579;2
580;2
582;0
583;0
584;0
585;0
586;0
587;5
588;5
589;5
590;5
591;5
592;5
593;6
594;6
595;7
596;2
597;2
598;2
599;0
600;5
601;5
602;5
603;5
605;1
606;1
607;1
609;1
610;1
611;6
612;6
613;7
614;7
615;2
616;2
617;0
618;0
619;5
